红色食品,适宜人群,全部人群
围绝经期综合征,别称,更年期综合征
股权分置,分为,社会公众股
百度百科,核心用户,百科蝌蚪团
百度百科,校园用户,百度百科校园大使
五大夫松,所属城市,山东省泰安市
暴风影音,软件语言,简体中文
汇编语言,学科,软件工程
解压缩软件,类型,压缩工具
嵌入式开发,应用领域,特定专用设备
还原精灵,类型,安全软件
还原精灵,用时,只有几秒钟
还原精灵,方法,设置不可写状态
转义字符,用处,编程使用
转义字符,又称,数据传送换码字符
过敏性鼻炎,别称,变应性鼻炎
过敏性鼻炎,就诊科室,耳鼻喉科
可扩展标记语言,类型,标记语言
磁盘碎片,别名,文件碎片
磁盘碎片,缺点,拖慢机器运行速度
第五类接触,著名事件,罗斯威尔事件
西汉长信宫灯,珍藏场所,河北省博物馆
智能电子专业,专业基础课,电子工艺技
智能电子专业,专业课,电子专业
佛教四大圣地,中国称,佛教四大名山
吉祥三宝,谱曲,布仁巴雅尔
美国联邦调查局,主要职责,情报警务
国内生产总值,核算周期,一个季度或一年
财政政策,性质,经济学词汇
虚拟明星,产生原因,大众需求
虚拟明星,定义,仿真人形象
南无阿弥陀佛,本名,无量寿佛
南无阿弥陀佛,字号,阿弥陀佛
南无阿弥陀佛,主要成就,建立极乐世界
生物工程,学位,工学学士
独立主格结构,应用,非谓语动词作状语
电子信息工程,门类,电气信息类
立克次氏体,中文学名,立克次氏体
立克次氏体,别称,落基山斑疹
弱电工程,隶属,电力应用
弱电工程,学科,电机工程
三长之制,制定时间,北魏孝文太和十年
常春藤联盟,类别,高校联盟
常春藤联盟,属性,世界一流大学
常春藤联盟,所属地区,美国新英格兰地区
内分泌失调,就诊科室,内分泌科
结婚恐惧症,又称,婚前恐惧症
结婚恐惧症,就诊科室,精神心理科
结婚恐惧症,多发群体,临近婚期的准新人
基尼系数,别称,坚尼系数
基尼系数,应用学科,政治经济学
资本主义,萌芽,文艺复兴时期
资本主义,统治阶级,资产阶级
同位语从句,考点,单词作同位语
山姆大叔,含义,代指美国
碳水化合物,别名,糖类化合物
碳水化合物,属性,有机化合物
邻苯甲酰磺酰亚胺,外观,白色结晶粉末
角色扮演游戏,核心,角色扮演
银团包销,属性,包销形式
银团包销,领域,经济领域
伊瓜苏市,语言,葡萄牙语
泡沫文学,作品名称,泡沫文学
股份制企业,性质,企业组织形式
股份制企业,特征,发行股票等
博斯曼法案,出台地点,欧盟法院
博斯曼法案,获利人员,欧洲足球运动员
霸王硬上弓,类型,中国典故
五十步笑百步,时间,战国时期
五十步笑百步,来源,孟子跟梁惠王谈话
碳酸氢钠,属性,化学试剂
读书笔记,繁体,讀書筆記
大块朵颐,近义词,狼吞虎咽
达摩克利斯之剑,表示,时刻存在的危险
吹毛求疵,近义词,无中生有
通用汽车公司,公司名称,通用汽车公司
通用汽车公司,经营范围,汽车生产企业
通用汽车公司,公司性质,上市公司
欧洲足联欧洲联赛,举办时间,每年一届
欧洲足联欧洲联赛,主办机构,欧洲足球联合会
断章取义,解释,指引用与原意不符
增值税专用发票,管理单位,国家税务总局
增值税专用发票,领购对象,一般纳税人
实况足球,游戏类型,竞技游戏
黑色家电,含义,家电的一种分类
黑色家电,对应,白色家电
少林七十二字,又名,七十字辈
少林七十二字,制定者,福裕禅师
少林七十二字,时间,宋末元初
外家拳法,性质,武术流派
异化作用,意思,把自己变成非己
否尽泰来,近义词,否极泰来
地下音乐,特点,特立独行
地下音乐,性质,表达感情的方式
地下音乐,所属,地下群体
三资企业,地点,中国境内设立
地景艺术,别名,大地作品
赴汤蹈火,出品公司,狮门影业
赴汤蹈火,发行公司,哥伦比亚电影公司
上市公司,优点,得到资金等
上市公司,缺点,上市是要花钱的
瓜田李下,类型,成语典故
失业保险,方式,社会集中建立基金
水门事件,别名,水门丑闻
水门事件,发生地点,水门大厦
水门事件,事情结果,尼克松辞职
意识流小说,类别,写作技巧
意识流小说,着重,描述心理活动
意识流小说,时间,一次世界大战之后
苏格拉底法则,特点,谈话是藉助于问答
苏格拉底法则,方法,苏格拉底反诘法
土体构型,别称,土壤剖面构型
土体构型,分类,较好土体构型等
意识完美僻,表现,追求完美主义
意识完美僻,归类,心理咨询
宾语从句,作用,修饰宾语
账面价值,所属,经济术语
双重人格,类别,多重人格
双重人格,隶属,心理障碍
动词不定式,属性,非谓语动词
儿童孤独症,多发群体,男性婴幼儿
百家争鸣,时期,春秋战国
百家争鸣,时间,春秋战国
多元弱酸,属性,弱电解质
多元弱酸,特性,分步电离
勾股定理,限制条件,直角三角形
傅雷家书,书名,傅雷家书
傅雷家书,原版名称,傅雷家書
傅雷家书,类别,青年思想修养读物
哈勃半径,来源,哈勃定律
两性氧化物,应用,化学分析
欧拉公式,别称,欧拉方程
全等三角形,性质,三边三角相等
全等三角形,属于,几何全等
摩尼宝珠,功能,能满足众生之意愿
六字真言,别称,六字大明咒
十字金刚杵,类型,西藏密宗法器
十相自在,常见,藏传佛教
以儆效尤,近义词,惩一儆百
意识形态,定义,感观思想
多边主义,应用领域,国际政治
一大二公,运动,大跃进运动
农村人民公社,特点,一大二公
主流社会,符合思想,社会主义法制
主流社会,原则,兼容风俗人
西学东渐,时间,明末到近代
小隐于野大隐于市,隶属,哲学思想
文艺复兴,指导思想,人文主义
晕轮效应,应用范围,社会心理学
左支右绌,名称,左支右绌
反恐精英,所属系列,反恐精英
反恐精英,媒介,网络下载
雅丹地貌,属性,风蚀地貌
知识经济,主管单位,重庆市科协
十四行诗,产生背景,文艺复兴时期
十四行诗,音节,由音素构成
血红蛋白,检查分类,临床实验室检查
授权文件,使用,授权文件
授权文件,采取,一种自我保护方式
信托公司,经营,信托业务
信托公司,基础,信任委托
向后兼容,中文别名,向下兼容
以太网控制器,地位,连接网络的前提
外壳程序,本质,命令解释程序
虚拟网卡,别称,虚拟网络适配器
全资子公司,术语,工商管理
全资子公司,含义,一人公司
五谷杂粮,类别,粮食作物
变态美学,产生渠道,通过刺激人的神经
二十四孝图,作品名称,二十四孝图
二十四孝图,作品出处,朝花夕拾
有氧运动,相反的运动,无氧运动
有氧运动,功能,有助改善人体健康
三二联防,类型,一种防守阵式
三二联防,相互,协同配合
体能储备,用途,提高运动能力
秀逗魔导师,出生地,谢菲利亚
天津三绝,全称,天津风味食品三绝
天津三绝,所属地区,中国天津
天津三绝,属性,中华美食
天津三绝,社会影响,驰名中外
自由落体,类型,物理学名词
致命紫罗兰,发行公司,索尼电影娱乐公司
自旋量子数,范畴,量子力学术语
七级浮屠,说明,浮屠就是佛塔
三险一金,一金,住房公积金
火山孝子,释义,那些裙下之臣
阆苑仙葩,作品名称,阆苑仙葩
盘虬卧龙,解释,比喻隐藏的人才
宁静致远,产生年代,西汉初年
神农架林区,别名,华中屋脊
神农架林区,地理位置,鄂西北边陲
神农架林区,气候条件,亚热带季风气候
神农架林区,机场,神农架红坪机场
弱水三千只取一瓢,作品名称,弱水三千只取一瓢
弱水三千只取一瓢,其他释义,形容爱情
人满为患,释义,因人多造成了困难
空穴来风,释义,有了洞穴才进风
七言律诗,字数,五十六字
见血封喉,中文学名,见血封喉
见血封喉,亚纲,原始花被亚纲
见血封喉,亚科,波罗蜜亚科
三坟五典,解释,指最早的古籍
上穷碧落,作品名称,上穷碧落
仕途经济,解释,仕途指做官的途径
四书五经,类别,汉语言文学
四大名绣,类型,传统刺绣工艺品
四大名绣,文化,民俗文化
食色性也,反映问题,男女康乐问题
天地境界,介绍,人生境界之一
同中书门下平章事,简称,同平章事
同中书门下平章事,时期,唐太宗时
同中书门下平章事,废除,元丰改制
犯罪心理,其它译名,罪犯解码
犯罪心理,拍摄地点,加利福尼亚州
望穿秋水,近义词,望眼欲穿
相忘于江湖,相关词,相濡以沫
中华大丈夫,其它译名,天煞孤星
中华大丈夫,制片地区,中国大陆
日产天籁,品牌,日产天籁
日产天籁,生产厂商,日产汽车
日产天籁,驱动方式,前置前驱
日产天籁,制动方式,通风盘式
射影定理,提出者,欧几里得
射影定理,应用学科,数学几何
甘草演员,地位,绿叶色彩的配角
甘草演员,定义,不可或缺的角色
黄帝内经,书名,黄帝内经
黄帝内经,创作年代,先秦至汉
端口映射,功能,翻译网址
戴维南定理,别称,等效电压源定律
戴维南定理,对偶定理,诺顿定理
高等教育自学考试,考试类型,全国统一命题考试
本构方程,别名,流变方程
多线程传输,缺点,可能下载会受限制
阿基米德定律,别称,阿基米德原理
阿基米德定律,提出者,阿基米德
阿基米德定律,应用学科,流体静力学
核糖核酸,本质,长链状分子
核糖核酸,原则,碱基互补配对原则
电离辐射,学科,原子核物理学
硫代硫酸钠,药品类型,基本药物
硫代硫酸钠,药物名称,硫代硫酸钠
脱氧核糖核酸,分子结构,双螺旋结构
脱氧核糖核酸,复制方式,随机半保留复制
大统一理论,提出者,爱因斯坦
镜像服务器,作用,分担主机的负载
等角螺线,学科,数理科学
网格技术,核心技术,高性能调度技术
三层交换技术,别称,多层交换技术
三层交换技术,相对,传统交换概念
通用网址,别称,网络关键字
网络木马,类型,网络病毒
网络木马,传播方式,电子邮件
费马大定理,别称,费马最后的定理
费马大定理,应用学科,数学代数
无线互联网,领域,计算机网络
网络诈骗罪,目的,非法占有
坚壁清野,属性,汉语成语
钢化玻璃,类别,安全玻璃
英国广播公司,公司名称,英国广播公司
英国广播公司,总部地点,英国伦敦
英国广播公司,经营范围,广播公司
英国广播公司,公司性质,上市公司
英国广播公司,业务地区,世界范围
英国广播公司,产业,大众媒体
英国广播公司,所有权者,政府出资
虚拟空间,别称,虚拟主机
地方保护主义,类型,消极行使手中权力
子网掩码,行业,计算机网络
假减数分裂,性质,特殊的减数分裂
中文域名,概念,以中文表现的域名
中文域名,主要包含,国际化域名
离心分离器,应用学科,冶金工业
哥特式建筑,兴盛于,中世纪高峰与末期
大民族主义,主张,反对大民族主
黄道十二宫,信息,要用指南针定位
冬虫夏草,中文学名,冬虫夏草
海湾战争,名称,海湾战争
海湾战争,战争起因,伊拉克入侵科威特
海湾战争,目的,维护区域和平
磁盘碎片整理,称为,碎片文件
菠萝古老肉,口味,口味甜酸
浮点运算,性质,实数运算
浮点运算,特点,实数都是约数
趋肤效应,别名,集肤效应
存在主义,别称,生存主义
存在主义,提出者,海德格尔
弱相互作用,又称,弱力或弱核力
镜像文件,类别,压缩软件
不食人间烟火,褒义,比喻人有出世之意
香水百合,中文学名,香水百合
香水百合,亚目,百合亚目
香水百合,花语,伟大的爱
茉莉花茶,茶叶分类,再加工茶
茉莉花茶,适合人群,男女老少均可饮用
清宫四大疑案,类别,未解疑案
皮脂腺囊肿,多发群体,青春发育期人群
网络操作系统,所属类别,操作系统
网络操作系统,地位,网络的心脏和灵魂
龙舌兰酒,别名,特基拉酒
龙舌兰酒,出现时间,西元三世纪
木马病毒,类型,计算机恶意代码
网络计算机,性质,客户端设备
网络计算机,适用,政府办公网络
造父变星,表达式,是变星的一种
红斑狼疮,就诊科室,风湿免疫科
虚拟内存,别称,虚拟存储器
关节退行性病变,别称,骨质增生
前列腺炎,就诊科室,泌尿外科
气脖子病,别称,大脖子病
气脖子病,病因,缺少碘元素
黑色幽默,分类,文学流派
帕金森综合征,别称,震颤麻痹
规模经济,又称,规模利益
分离性障碍,就诊科室,临床心理科
减速玻璃,实质,夹层玻璃
减速玻璃,性能,光学性能
减速玻璃,译名,安全玻璃
事件查看器,开发商,微软公司
国际标准化组织,形式,非政府组织
国际标准化组织,目标与焦点,国际标准化
驱动程序,全称,设备驱动程序
系统缓存,实质,临时文件交换区
中央商务区,别称,中心商务区
中央商务区,代表,纽约曼哈顿
球状闪电,别称,电光火球
国际货币基金组织,总部,美国华盛顿
主流经济学,解释,经济学领导权
主流经济学,特征,经济学话语权
安全模式,特点,方便地检测与修复
字符常量,属于,编程语言
电脑超频,属于,频率的一种分类
低级格式化,影响,一种损耗性操作
调制解调器,属性,网络应用硬件
黄棘之盟,签订国,秦国楚国
黄棘之盟,时间,楚怀王二十五年
缺省网关,别称,默认网关
高尔丁死结,出处,古亚细亚预言
高尔丁死结,同义词,高尔丁结
文件扩展名,作用,标志文件格式
同轴电缆接头,解释,同轴电缆的接头
杜鲁门主义,性质,美国外交政策
王道外交,务实王道,反对滥用武力
苏格拉底,国籍,古希腊雅典
苏格拉底,信仰,理性主义
茹毛饮血,属性,四字成语
茹毛饮血,近义词,生吞活剥
逆向思维,属性,思维方式
萨满主义,区域,亚洲北部和中部
微处理器,别名,中央处理器
伪随机数,应用,程序语言
虚拟光驱,使用技巧,多盘符共存
虚拟光驱,常见问题,改变光驱盘符等
精卫填海,性质,上古神话传说
滑铁卢战役,名称,滑铁卢战役
滑铁卢战役,结果,反法同盟胜利
百团大战,名称,百团大战
百团大战,地点,晋察冀边区
百团大战,参战方,中国八路军
百团大战,目标,打破封锁
迅驰移动计算技术,所属,英特尔公司
帽子戏法,解释,独中三元
韦达定理,应用学科,数学代数
四维空间,别称,四度空间
战略合作伙伴关系,时间,冷战结束后
战略合作伙伴关系,属性,国与国的关系
算术平均数,适用于,数值型数据
巡洋坦克,别称,巡航坦克
五体投地,解释,比喻佩服到了极点
五体投地,歇后语,鲁肃服孔明
仙露琼浆,比喻义,酒非常鲜美
疤痕性皮肤,原因,组织处于增值阶段
意动用法,用法,名词意动用法
中国古典十大名曲,风格,中国传统音乐
重庆轨道交通,所属地区,中国重庆市
数字信号处理,含义,信号数字化处理
数字信号处理,先修课程,信号与系统
串行电缆,特点,逐位按顺序传送
串行电缆,性质,成本低但送速度慢
铁臂阿童木,作者,手冢治虫
国家地理,主办单位,美国国家地理协会
古典音乐,别称,经典音乐
八荣八耻,简称,八荣八耻
百度指数,功能,数据分析
百度指数,类型,统计分析平台
维基百科,公司名称,维基百科
维基百科,经营范围,在线百科全书
维基百科,公司口号,自由的百科全书
唐宋古文运动,性质,文学改革运动
欧洲冠军联赛,赛事类型,跨年度赛事
欧洲冠军联赛,主办机构,欧洲足球协会联盟
世界贸易组织,中文简称,世贸组织
世界贸易组织,原型,关税与贸易总协定
世界贸易组织,总部所在地,瑞士日内瓦
丝绸之路,价值,世界文化遗产
一元复始,近义词,万象更新
一元复始,解释,指新的一年的开始
后街男孩,主要成就,格莱美七项提名
后街男孩,唱片公司,环球唱片公司
中华人民共和国,政治体制,人民代表大会制度
中华人民共和国,道路通行,靠右驾驶
中华人民共和国,执政党,中国共产党
中华人民共和国,地理最高点,珠穆朗玛峰
中华人民共和国,地理最低点,吐鲁番艾丁湖洼地
中华人民共和国,中央银行,中国人民银行
中华人民共和国,法律体系,欧陆法系
中华人民共和国,国旗,五星红旗
武汉大学,类别,公立大学
武汉大学,所属地区,中国湖北省武汉市
武汉大学,发展定位,世界一流大学
奥林匹克运动会,举办时间,每四年一届
奥林匹克运动会,赛事类型,综合性运动会
